date,region,product,units,unit_price
2024-11-08,East,Gadget,31,29.0
2024-11-20,East,Gadget,34,29.0
2024-08-10,North,Gizmo,20,99.0
2024-05-17,West,Gizmo,4,99.0
2024-05-11,South,Gizmo,8,99.0
2024-06-10,South,Widget,5,12.5
2024-02-21,East,Doohickey,16,4.75
2024-06-01,East,Doohickey,34,4.75
2024-09-13,West,Doohickey,12,4.75
2024-01-12,North,Widget,5,12.5
2024-02-04,East,Gadget,,29.0
2024-07-09,East,Widget,13,12.5
2024-11-21,West,Gadget,30,29.0
2024-06-19,West,Gizmo,20,99.0
2024-02-01,West,Gizmo,,99.0
2024-06-04,South,Gizmo,1,99.0
2024-12-11,South,Gizmo,32,99.0
2024-01-23,North,Gizmo,,99.0
2024-08-09,West,Doohickey,33,4.75
2024-05-16,West,Gizmo,25,99.0
2024-07-11,East,Widget,11,12.5
2024-03-23,East,Widget,40,12.5
2024-10-06,East,Doohickey,28,4.75
2024-06-21,East,Gizmo,38,99.0
2024-12-21,North,Widget,15,12.5
2024-02-26,East,Gizmo,38,99.0
2024-10-04,South,Widget,13,12.5
2024-10-03,North,Gadget,1,29.0
2024-09-22,East,Gizmo,1,99.0
2024-07-01,North,Gadget,9,29.0
2024-01-25,North,Gizmo,,99.0
2024-09-08,North,Gadget,22,29.0
2024-02-26,West,Doohickey,20,4.75
2024-11-27,North,Widget,1,12.5
2024-05-20,East,Gizmo,21,99.0
2024-12-11,North,Gadget,22,29.0
2024-08-25,West,Gizmo,,99.0
2024-02-17,South,Gadget,9,29.0
2024-02-06,West,Doohickey,34,4.75
2024-03-26,West,Gadget,35,29.0
